ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,reaction_time.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
images/fcloud80-20_D1.2_5.tif,1.2,2,,,,,,,,,0,69,69,85,,,,,,,,,,,,,,,None,None,None,78.036,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D1.4_4.tif,1.4,0,,,,,,,,,0,70,70,18,,,,,,,,,,,,,,,2,None,4,1.82,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1_6.tif,1.0,2,,,,,,,,,0,71,71,80,,,,,,,,,,,,,,,None,None,None,10.795,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1.2_5.tif,1.2,1,,,,,,,,,0,72,72,49,,,,,,,,,,,,,,,None,None,None,19.836,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D1_4.tif,1.0,0,,,,,,,,,0,73,73,6,,,,,,,,,,,,,,,2,None,1,0.637,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1_5.tif,1.0,1,,,,,,,,,0,74,74,43,,,,,,,,,,,,,,,None,None,None,9.777,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1.5_4.tif,1.5,2,,,,,,,,,0,75,75,93,,,,,,,,,,,,,,,None,None,None,18.518,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1.8_5.tif,1.8,2,,,,,,,,,0,76,76,103,,,,,,,,,,,,,,,None,None,None,27.68,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1.3_4.tif,1.3,1,,,,,,,,,0,77,77,51,,,,,,,,,,,,,,,None,None,None,36.386,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1.9_4.tif,1.9,2,,,,,,,,,0,78,78,105,,,,,,,,,,,,,,,None,None,None,44.865,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1.6_6.tif,1.6,2,,,,,,,,,0,79,79,98,,,,,,,,,,,,,,,None,None,None,53.339,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1.8_4.tif,1.8,2,,,,,,,,,0,80,80,102,,,,,,,,,,,,,,,1,None,1,0.452,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1.3_6.tif,1.3,1,,,,,,,,,0,81,81,53,,,,,,,,,,,,,,,None,None,None,9.909,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D1.5_6.tif,1.5,0,,,,,,,,,0,82,82,23,,,,,,,,,,,,,,,None,None,None,18.701,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D0.8_5.tif,0.8,0,,,,,,,,,0,83,83,1,,,,,,,,,,,,,,,1,None,3,0.867,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D1.7_5.tif,1.7,0,,,,,,,,,0,84,84,28,,,,,,,,,,,,,,,None,None,None,9.742,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1.7_6.tif,1.7,2,,,,,,,,,0,85,85,101,,,,,,,,,,,,,,,None,None,None,18.465,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1.5_6.tif,1.5,2,,,,,,,,,0,86,86,95,,,,,,,,,,,,,,,None,None,None,26.958,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D0.9_5.tif,0.9,0,,,,,,,,,0,87,87,4,,,,,,,,,,,,,,,1,None,1,0.685,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1.7_4.tif,1.7,1,,,,,,,,,0,88,88,63,,,,,,,,,,,,,,,None,None,None,9.61,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1.6_6.tif,1.6,1,,,,,,,,,0,89,89,62,,,,,,,,,,,,,,,None,None,None,18.418,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D1.6_6.tif,1.6,0,,,,,,,,,0,90,90,26,,,,,,,,,,,,,,,None,None,None,26.877,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud_D1.2_6.tif,1.2,0,,,,,,,,,0,91,91,14,,,,,,,,,,,,,,,1,None,2,1.169,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1.4_6.tif,1.4,1,,,,,,,,,0,92,92,56,,,,,,,,,,,,,,,2,None,4,0.521,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1.2_6.tif,1.2,1,,,,,,,,,0,93,93,50,,,,,,,,,,,,,,,1,None,1,0.652,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud65-35_D1.4_4.tif,1.4,1,,,,,,,,,0,94,94,54,,,,,,,,,,,,,,,None,None,None,9.662,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
images/fcloud80-20_D1.9_5.tif,1.9,2,,,,,,,,,0,95,95,106,,,,,,,,,,,,,,,None,None,None,18.402,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
