ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,Flow01.response,Flow01.rt,Flow02.response,Flow02.rt,Flow03.response,Flow03.rt,Flow04.response,Flow04.rt,Flow05.response,Flow05.rt,Flow06.response,Flow06.rt,Flow07.response,Flow07.rt,Flow08.response,Flow08.rt,Flow09.response,Flow09.rt,Flow10.response,Flow10.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
images/fcloud65-35_D1.4_4.tif,1.4,1,,,,,,,,,0,75,75,54,,,,,,,,,,,,,,,2,space,2,1.785,2.82407570191,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.5_4.tif,1.5,2,,,,,,,,,0,76,76,93,,,,,,,,,,,,,,,None,None,None,12.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.5_4.tif,1.5,0,,,,,,,,,0,77,77,21,,,,,,,,,,,,,,,1,space,1,0.603,7.53345886577,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.5_6.tif,1.5,0,,,,,,,,,0,78,78,23,,,,,,,,,,,,,,,1,space,1,1.602,4.29744041321,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D0.8_5.tif,0.8,2,,,,,,,,,0,79,79,73,,,,,,,,,,,,,,,1,space,1,0.502,3.58980349702,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D0.8_5.tif,0.8,1,,,,,,,,,0,80,80,37,,,,,,,,,,,,,,,2,space,3,0.851,2.69014411041,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.9_4.tif,1.9,0,,,,,,,,,0,81,81,33,,,,,,,,,,,,,,,1,space,1,1.652,5.45299422098,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.2_4.tif,1.2,2,,,,,,,,,0,82,82,84,,,,,,,,,,,,,,,1,space,4,2.119,7.95025635965,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.4_5.tif,1.4,1,,,,,,,,,0,83,83,55,,,,,,,,,,,,,,,1,space,3,1.419,5.35903304041,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.3_4.tif,1.3,2,,,,,,,,,0,84,84,87,,,,,,,,,,,,,,,2,space,3,0.753,1.99476434139,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
